C1,151.13,3.81,90.00,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C10,68.58,105.41,90.00,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C10_SUPERCAR,96.52,49.53,270.00,CPH3225A,CAPCP3225X100N
C1_BAT,130.81,58.42,90.00,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C1_BAT1,116.84,40.64,0.00,4.7uF,EAGLE-LTSPICE_C0402
C1_BAT2,129.54,43.18,0.00,4.7uF,EAGLE-LTSPICE_C0402
C2,149.86,3.81,90.00,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C2_BAT,123.19,52.07,180.00,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C3,123.19,46.99,90.00,"100uF TANT",RCL_CT3528
C4,95.25,36.83,90.00,4.7uF/25V,ESP32_WROVER_EAGLE-LTSPICE_C0402
C4_USB,148.59,36.83,90.00,1000nF,EAGLE-LTSPICE_C0402
C5,53.34,105.41,90.00,1uF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C5_USB,144.78,36.83,90.00,4.7uF,EAGLE-LTSPICE_C0402
C6,27.94,105.41,270.00,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C7,82.55,29.21,0.00,10uF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C8,91.44,48.26,90.00,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C9,8.89,97.79,90.00,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402
CHG_LED,121.92,59.69,90.00,,ADAFRUIT_CHIP-LED0603
C_DELAY,55.88,100.33,90.00,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402
D1,147.32,41.91,0.00,USBLC6-2SC6Y,SOT95P280X145-6N
D10,34.29,40.64,90.00,PGB1010603MR,DIOC1608X36N
D11,31.75,40.64,90.00,PGB1010603MR,DIOC1608X36N
D12,24.13,40.64,90.00,PGB1010603MR,DIOC1608X36N
D2,113.03,45.72,90.00,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0_0AVX_SD0805S020S1R0_0_0,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0
D3,90.17,36.83,0.00,MBR0530,SOD3716X135N
D4,90.17,33.02,0.00,MBR0530,SOD3716X135N
D5,82.55,38.10,0.00,MBR0530,SOD3716X135N
D6,68.58,13.97,0.00,PGB1010603MR,DIOC1608X36N
D7,86.42,62.23,0.00,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0_0AVX_SD0805S020S1R0_0_0,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0
D8,16.51,96.52,180.00,PGB1010603MR,DIOC1608X36N
D9,39.37,55.88,90.00,PGB1010603MR,DIOC1608X36N
EPD_C1,87.63,20.32,90.00,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402
EPD_C10,78.74,20.32,90.00,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402
EPD_C11,68.58,19.05,90.00,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402
EPD_C12,67.31,19.05,90.00,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402
EPD_C2,86.36,20.32,90.00,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402
EPD_C5,85.09,20.32,90.00,0.1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402
EPD_C6,83.82,20.32,90.00,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402
EPD_C7,82.55,20.32,90.00,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402
EPD_C8,81.28,20.32,90.00,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402
EPD_C9,80.01,20.32,90.00,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402
IC1,49.53,100.33,0.00,BD5229G-TR,SOT95P280X125-5N
IC4,118.11,45.72,0.00,XC6220A331MR-G,SOT95P280X120-5N
J1,83.82,14.17,0.00,FH34SRJ-24S-0.5SH_99_,FH34SRJ24S05SH99
J2,163.30,53.62,90.00,SAMACSYS_PARTS_USB4110-GF-A,SAMACSYS_PARTS_USB4110GFA
J3,166.26,19.05,90.00,QWIIC_RIGHT_ANGLE,JST04_1MM_RA
J4,10.97,86.95,270.00,112A-TAAR-R03_ATTEND,112ATAARR03ATTEND
L1,82.55,33.02,0.00,744043680IND_4828-WE-TPC_WRE,IND_4828-WE-TPC_WRE
MCP73831,127.00,58.42,90.00,ESP32_WROVER_SPARKFUN-IC-POWER_MCP73831,ESP32_WROVER_SPARKFUN-IC-POWER_SOT23-5
PFMF.050.1,144.78,30.48,0.00,ESP32C6_VARISTORCN1812,ESP32C6_VARISTOR_CT/CN1812
Q1,78.13,30.48,270.00,20V/4.2A/52mΩ/1.4W,ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3
Q2,133.35,54.66,0.00,20V/4.2A/52mΩ/1.4W,ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3
Q3,59.69,17.78,90.00,SI1308EDL-T1-GE3,SOT65P210X110-3N
R1,20.32,49.53,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R10,10.16,97.79,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_BAT,119.38,55.88,0.00,200,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_PINH,152.40,3.81,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
